Nom_station,Capacite_station
LCL Campus - Place Oscar Niemeyer,37
Place des Marseillais,37
Place Valhubert,37
Mutualité,37
Reims - Raymond Pitet,37
Chernoviz - Raynouard,37
René Binet - Porte de Montmartre,37
Française - Etienne Marcel,37
Place Saint-André des Arts,37
Joseph Dijon - Ornano,37
Herschel - Observatoire,37
Saint-Marc - Feydeau,37
Roquépine - Malesherbes,37
Gaston Tessier - Rosa Parks RER,37
Place Charles Michels,37
Cadix - Hameau,37
Louis Blanc - Aqueduc,37
Pierre Demours - Laugier,37
Quatre Vents - Carrefour de l'Odéon,37
Gare RER - Maurice Grandcoing,37
Marcadet - Barbès,37
Berthier - Place Stuart Merril,37
Franquet - Labrouste,37
République - Louis Loucheur,37
Danielle Casanova - Place Vendôme,37
Guersant - Gouvion-Saint-Cyr,36
Faubourg Poissonniere - Delta,36
Fernand Braudel - Vincent Auriol,36
Butte aux Cailles - Esperance,36
Place de la Nation - Charonne,36
Perle - Vieille du Temple,36
Gergovie - Alésia,36
Matignon - Faubourg Saint-Honoré,36
Place Jeanne d'Arc,36
Stephenson - Doudeauville,36
Guynemer - Jardin du Luxembourg,36
Commandant Charcot - Bretteville,36
Gare de Courbevoie,36
Temple - Jean-Pierre Timbaud,36
Paul Vaillant-Couturier - Victor Hugo,36
Reuilly - Daumesnil,36
Gabriel Lamé,36
11 Novembre 1918 - 8 Mai 1945,36
René Coty - Place Denfert-Rochereau,36
Tombe Issoire - René Coty,36
Richard Lenoir - Jean-Pierre Timbaud,36
Amaury Duval - Gabriel Péri,36
Place de la Nation - Picpus,36
Ecoles - Carmes,36
Convention - Lourmel,36
Guy Môquet - Compoint,36
Jean Colly - Tolbiac,36
Hôtel de Ville - Pont-Marie,36
Place de la Porte de Passy,36
Bienfaisance - Place de Narvik,36
Porte de la Muette,36
Bara - Henri Farman,36
Balard - Montagne de la Fage,36
Porte d'Asnières,36
Olympiades,36
Carrefour Pleyel,36
Mathurins - Auber,36
Porte Dorée,36
Ecole Vétérinaire,36
Gare Rosny-Bois-Perrier,36
Square Louise Michel,36
Bagnolet - Orteaux,36
Saint-Amand - Labrouste,36
Navier - Epinettes,36
Lucie Aubrac - Franklin,36
Ordener - Poissonniers,35
Ruisseau - Ordener,35
Place Aristide Briand,35
Rouget de Lisle,35
Saint-Mande - Picpus,35
Chevaleret - Louise Weiss,35
Jean Jaurès - Place du Dr Roux,35
Grenelle - Violet,35
Vaneau - Sèvres,35
Faubourg Montmartre - La Fayette,35
Froidevaux - Boulard,35
Berri - Haussmann,35
Place du Cornillon - Stade de France,35
Didot - Mariniers,35
Le Goff - Gay-Lussac,35
Paix - Verdun,35
Place Jean Delay,35
Gare de Bercy,35
Paul Signac - Aristide Briand,35
Clignancourt - Ordener,35
Chazelles - Courcelles,35
Saint-Fiacre - Poissonière,35
Concorde - Stalingrad,35
Mairie du 16ème,35
Place de la Bastille - Bourdon,35
Miromesnil - La Boétie,35
Charenton - Place du Col Bourgoin,35
Bois de Vincennes - Porte Jaune,35
Résistance - Parmentier,35
Assas - Vaugirard,35
Porte de la Plaine,35
Paul Valery - Victor Hugo,35
Place de la Division Leclerc,35
Charonne - Alexandre Dumas,35
Porte Saint-Martin,35
Pierre Lefaucheux - Traversière,35
Benjamin Godard - Victor Hugo,35
Marignan - Champs-Elysées,35
Place du Front Populaire - George Sand,35
Parc Roger Salengro,35
Place des Larris,34
Pyramide - Ecole du Breuil,34
Victor Hugo - Magasins Généraux,34
Francoeur - Caulaincourt,34
Victor Hugo - Galliéni,34
Volontaires - Vaugirard,34
Laumière - Petit,34
Place François Mitterand,34
Croulebarde - Corvisart,34
Gare de Pont-Cardinet,34
Hôtel de Ville de Fontenay-aux-Roses,34
Sorbier - Gasnier-Guy,34
Charonne - Faubourg Saint-Antoine,34
Ferrus - Saint-Jacques,34
La Motte-Picquet - Grenelle,34
